participant,session,method,project,path,summary,Accuracy,Completeness,Conciseness,Clarity
29,3,8,mltk,core>io>InstancesReader.java> parseDenseInstance [line 159],This function helps parse a data that is dense in size meaning that there was a large amount of data or an array of strings. It does this by iterating through each element of the array and parsing the string individually tracking the information in a var to return to the user. This helps parse more than just one instance or dataset at once allowing for a better ML model training efficiency.,3,4,3,4
30,4,2,mltk,core>io>InstancesReader.java> parseDenseInstance [line 159],This looks through an array and manipulates the list based on the classIndex so the classindex would be taken out of the list. The list is parsed and when the index is found it is taken out and the rest of the list still conjoined. This is useful for reading to take an element out of the list.,2,3,4,3
31,2,2,mltk,core>io>InstancesReader.java> parseDenseInstance [line 159],"This method is used to parse a line of data from string to doubles, specifically an ""Instance."" It does so by iterating through a delimited string and parsing them as doubles and returning a new Instance; if a classIndex is specified the value at that index is extracted as a target for the new Instance created. This method is used for reading data from a string file and returning Instances.",4,4,3,4
24,3,7,mltk,core>io>InstancesReader.java> parseDenseInstance [line 159],"This method parse the the dense instance into a normal instance object. each elements of the original dense data array is being performed by the parseDouble rfunction which convert the string into a double numeric value, this process is also determined by the class index which are given out. This methos serves as a converter that convert the string data into numeric values, then the parsed instance objects will be able to perform other actions since it's converted.",3,3,2,2
27,4,7,mltk,core>io>InstancesReader.java> parseDenseInstance [line 159],"This method parses a list of strings into an Instance object that consists of a list of values and a target.  An index can be provided that is used to indicate which index in the list of strings contanis the target, and if it's not specified, the target is NaN.  This method is used when reading instances and attributes from a file",4,3,4,3
28,5,2,mltk,core>io>InstancesReader.java> parseDenseInstance [line 159],"This method parses an inputted data string with index, and returns an instance object that contains a vector of doubles and a class value.  It does this by first determining if the inputted class index is positive or negative - if it is negative, it formats all the data from the string into  doubles and returns an instance with a vector of those values and a class value of NaN; if it is positive, it performs a similar iteration but returns an instance with the vector and the value at the class index.  This method seems important in parsing a string into an actual instance object that can be used elsewhere in other methods.",4,4,1,3
23,3,1,mltk,core>processor>Discretizer.java> computeBins [line 122],"1. this method get a list and return a new Bin. 2. this method get a list and its max number, if the list length under the max number, it will make it to a bin, else it will increase the number.  3. this method is needed to compute bins.",2,3,4,1
21,3,1,mltk,core>processor>Discretizer.java> computeBins [line 122],First creating a linked list of doubles and adding every valid double in the array x in the list. Finally calling the computeBins function that accepts a list and max NumBins to calculate the bins. This method tries to filter out the value in the array that is NaN before calling another computeBins to create the bins.,2,2,4,1
26,5,1,mltk,core>processor>Discretizer.java> computeBins [line 122],"Method computes statistics for a collection of bins. It retrieves a list of stats, organizes data into bins, and processes the bins into boundary list and median list. General compute bins functions used by other computerBins functions of different data types.",3,3,4,4
22,5,1,mltk,core>processor>Discretizer.java> computeBins [line 122],The method takes a list and a maximum number of bins and partitions the list into a set of bins.  It sorts the list and then finds the boundaries between beens as well as the median element of each bin; it creates a bins object using this information and returns it.  This is useful when binning data for efficient machine learning.,5,3,3,4
29,3,1,mltk,core>processor>Discretizer.java> computeBins [line 122],This computes the number of bins for data preprocessing. I think it does this by computing the max size of data the model can have then filling out an array with weights for the nodes in the model to allow for altering weights. This makes an easier way to alter the weights of nodes in algorithms like  backpropogation for training a model; but I really didnt get this,1,2,3,3
27,4,1,mltk,core>processor>Discretizer.java> computeBins [line 122],"This method attempts to group a list of elements with a value and weight into a sorted group of bins organized by weight and medians of the values.  The method works by first grouping by value, and then combining the larger bins to meet the required bin size.  This method is used when discretizing attributes in the dataset when training or predicting.",4,5,3,4
30,4,1,mltk,core>processor>Discretizer.java> computeBins [line 122],"This method compute bins which is an array of boundaries and mediums. Depending on the amount of stats and bins, if there are less than bin, each stat gets their own bin so and the medium and boundaries are the wsame, otherwise calculations are done to find the bin. This is used for calculations with the training sets giving a statisitical analysis.",2,3,3,2
24,3,1,mltk,core>processor>Discretizer.java> computeBins [line 122],"This method compute the boundart and medians number of the Bin objects. It does that, but taking a list and max bin numbers  and traverse through it. the list elemest is the total weight of the object, the total weight is then divided by the maxnum bins. It serves a crucial steps to calculate the correct bin size.",2,3,3,2
28,5,1,mltk,core>processor>Discretizer.java> computeBins [line 122],"This method computes and returns bins from a inputted list of elements and max bin size.  It does this by getting the weights of all elements, calculating the boundaries and medians bsaed on inputted/calculated bin size, and then finally  returning the bins with the appropriate values.  This method is important for discretizing data into bins, which is important in machine learning for clustering by intervals and other methods.",5,5,3,4
31,2,1,mltk,core>processor>Discretizer.java> computeBins [line 122],This method groups a list of elements into separate bins based on a specified maximum number of bins. It does so using a helper method getStats that accumulates elements of same weight into bins; if more bins than max bins are found new bins are created by calculating bin size and making adjustments. This method is used to discretize data used for training purposes.,5,5,3,5
23,3,5,mltk,core>processor>InstancesSplitter.java> split [line 286],1.this method split instance by ratios and depends on attToStratify value. 2. this method is called when createCrossValidationFolds and in some conditions in main. 3. this method helps with storing information into datasets.,2,3,4,3
30,4,8,mltk,core>processor>InstancesSplitter.java> split [line 286],Algorithm to make a new dataset based on attribute and previous attribute and updating each instance in the database. Makes a dataset if atttoStritfy is valid and adds a product from the list to each instance in the database based on a calculation. Used to display each dataset in the main function.,3,3,4,3
26,5,8,mltk,core>processor>InstancesSplitter.java> split [line 286],"Method splits a collection of instances by strata. It creates a new dataset of instances, computes ratios, and partitions instances. Used by other methods to split a collection of instances into smaller sets.",3,2,4,3
21,3,4,mltk,core>processor>InstancesSplitter.java> split [line 286],"Returns a dataset which is an array of Instances. It either calls split(instance, ratio) if the stratify attribute is null or the getstrata of intance and atttostratify is null.  Otherwise, it uses the instances to create the dataset and then use the ratio variable to perform the calculation to split the instances into a dataset.",3,3,4,3
22,5,3,mltk,core>processor>InstancesSplitter.java> split [line 286],"The method splits a given set of instances into multiple datasets based on a and attribute and a set of ratios that represent how much of the original list should go in each dataset.  If the data is binned, it creates a new data set for each ratio, and includes that ratio of entries from each bin in that data set.  This is useful when splitting data into ""train"", ""test"", and ""validate"" sets.",4,5,3,4
29,3,5,mltk,core>processor>InstancesSplitter.java> split [line 286],This function splits the training into different segments. It does this by getting a list of the attributes that are trying to stratify and then makes a list distributing that attribute into the segments of the list to act as a schedule for the model to run simultaneously. This is useful because it allows models to train a lot faster,2,3,2,3
28,5,4,mltk,core>processor>InstancesSplitter.java> split [line 286],"This method is used to split a dataset by a inputted strata method, ratios, and a list of instances - it returns a list of instances that are split in accordance with the parameters.   It does this by checking the strata method, and if it is null, it simply splits the instance list along the input ratio (shuffles dataset and partitions  into different instances) - if not, it iterates through the dataset and partitions based on the strata and sum of ratios and returns the list of instances.   This method seems important in splitting datasets into multiple parts, which is important in machine learning to separate data into training and validation sets.",5,4,1,4
27,4,8,mltk,core>processor>InstancesSplitter.java> split [line 286],"This method partitions a list of instances so that the sizes of each partition matches the ratios provided.  If an attribute is provided and it's not numeric, each partition is ensured to have the provided ratio of each of the possible values of the attribute.  This method is used to create cross validation folds when performing cross validation.",4,5,4,4
24,3,8,mltk,core>processor>InstancesSplitter.java> split [line 286],"This method split the instance object according to its ration number. First it checks whether the strata data is null or not. If the strata data is there, then the new instance list will be updated and be splited with the correct partion. the new splited dataset is then updated. This method or process is crucial to create the validaton fold method that will requried the instance object being splited into correct ratio.",4,4,3,2
31,2,3,mltk,core>processor>InstancesSplitter.java> split [line 286],"This method splits a dataset of Instances into multiple datasets based on ratios determining the distribution of elements in the new datasets. The method does so by creating an array of Instances of the number of ratios, initializes the attributes of each of them, and then adds the appropriate number of elements to each partition from a shuffled version of the initial dataset. This method appears to be used to split a dataset for use in validation.",4,4,3,4
23,2,3,freecol,freecol>client>gui>mapviewer>CanvasMapViewer.java> drawRenderingTimeStrings [line 121],"1. this method calculate and print the RenderingTime, including the full map (average), full map(last), and last render. 2. this method is called when the client is going to view the result, if the fullMapRenderedWithoutUsingBackBuffer is true, it will calculate and assign the needed value. 3. this method is helpful to print out the result to the client's side.",4,3,4,3
24,4,3,freecol,freecol>client>gui>mapviewer>CanvasMapViewer.java> drawRenderingTimeStrings [line 121],"I think this is a method to set the rendering time correctly, so it will prints out rendering times. So it will first intake a graphcis object, a time number and a boolean value, it will check if the boolean is true. then it will calcualte the correct time value of the rendering. Finally the graphics obeject will print out correct time strings. this function is needed if we want to check the time values of this g object.",3,3,3,3
22,4,7,freecol,freecol>client>gui>mapviewer>CanvasMapViewer.java> drawRenderingTimeStrings [line 121],The method calculates and displays the rendering time statistics for the map in frames per second.  It calculates the most recent render time and includes it in a running average calculation if it was for the entire map before calculating them all in fps and writing them to the screen.  This is useful when rendering the map on screen when using the debugger mode.,5,5,4,5
30,2,2,freecol,freecol>client>gui>mapviewer>CanvasMapViewer.java> drawRenderingTimeStrings [line 121],"This gives detail for statistics of the map rendering. This records the average time for rendering without back buffer. Then it outputs statistics for the amount of time for the previous render, this render, and average render. This is used for debugRendering mode to record details of how long rendering a map takes.",5,4,4,4
26,2,2,freecol,freecol>client>gui>mapviewer>CanvasMapViewer.java> drawRenderingTimeStrings [line 121],"This method draws a graph depicting the rendering times of the game's map The method calculates real-time updates and averages of the game's rendering time and plots them with a Graphics tool. The method can be used for debugging or analysis purposes, to visualize the program's performance.",4,4,5,5
31,5,8,freecol,freecol>client>gui>mapviewer>CanvasMapViewer.java> drawRenderingTimeStrings [line 121],"This method outputs debugging information with statistics about rendering time for the full map on the canvas if debugging is enabled. It does so by comparing the current system time with the start time before rendering began to find the render time; if the map was rendered without using a buffer, the average render time is updated; finally the method outputs the average rendering time, last rendering time and the corresponding frames per second. This method is used to provide useful performance information visually when a developer is debugging the application.",5,4,2,3
28,3,7,freecol,freecol>client>gui>mapviewer>CanvasMapViewer.java> drawRenderingTimeStrings [line 121],"This method seems to print out the fps/rendering times for rendering the main map in the game.  It does this by setting the font color to white and calculating the total render time, last full map render time, and the average full map render time - it then uses these new variables to print the appropriate information on the screen.  This method allows the user to look at the render time stats while playing the game, which is important in letting the user determine how well the game performs on his/her computer.",4,4,3,4
27,3,5,freecol,freecol>client>gui>mapviewer>CanvasMapViewer.java> drawRenderingTimeStrings [line 121],"This method white text at top left of the screen to describe render time statistics.  This method only computes the average of frames where the frame contained the map, which occurs when there's a game with a map.  This method is only called if the debug rendering checbox is set in the debug menu.",3,2,4,3
29,2,4,freecol,freecol>client>gui>mapviewer>CanvasMapViewer.java> drawRenderingTimeStrings [line 121],"this shows stats for rendering the map, this repaints the maps on a canvas or frame in java and then goes and displays how long the map is taking to render giving a benchmark on how much of the land has changed\ and this is done by the longer it takes to render the more of the map that has been claimed. This is done by setting a start time for rendering and then once the rendering of the map is done it does math to calculate the average time it takes vs what was the average time last rendering. This is important to the whole project because it lets you figure out how much of the map is claimed minimizing the DS needed",3,4,2,3
23,2,7,freecol,freecol>client>gui>SwingGUI.java> updateUnitPath [line 443],"1. this method update the unit path. 2. this method is called when clearing and traversing, it will call getActiveUnit first to get the needed information and then check the info are valid, then use setUnitPath to update the path. 3. this method could update the path when the game start and change its state.",4,3,4,4
24,4,6,freecol,freecol>client>gui>SwingGUI.java> updateUnitPath [line 443],"So it will set the correct path of a active unit. First it will check whether the intake unit is active or not.then it will check the destination value of that object, if the destineation is correct and the object or unit is not at the destinaton, then the set path method will be called. This functon is needed whenever the unit is undergoing transfortmation of moving to somethere else. so the path value needs to be updated accordingly.",4,4,3,3
26,2,7,freecol,freecol>client>gui>SwingGUI.java> updateUnitPath [line 443],The method updates the path of a certain unit in order to guide it towards its destination. The method uses pathfinding to determine whether a valid path exists for the unit to move toward its destination. The method is used in functions driving the movement and traveling of in-game units.,5,4,5,4
29,2,8,freecol,freecol>client>gui>SwingGUI.java> updateUnitPath [line 443],"this function creates a path for a user to get to a tile, and tells them if they can or not. This is done by getting the location of the tile they want to go to and then if it is a valid call, goes and makes a call to a function for making the path and then makes the path for the user and then sets the unite path for that. This is important because it allows the user to go and set a united path to a certain  destination that they can then evaluate on if taking it is the right strategy",4,4,2,3
31,5,3,freecol,freecol>client>gui>SwingGUI.java> updateUnitPath [line 443],"This method is used to update the path from the current location to destination for the active unit. It does so by getting the active unit and its destination and finding a path if the unit is not already at the destination; when a path is found, it is set. This method is used to update the path for the active unit once it has been moved.",4,4,4,3
27,3,3,freecol,freecol>client>gui>SwingGUI.java> updateUnitPath [line 443],"This method sets the path of the currently active unit if there is one.  This method fails to find a path if the unit is already at the destination, the destination object has been destroyed, or if there was an exception while determining the path.  This method is used when the user clicks on a tile with an active unit in order to determine the path to follow and draw.",5,3,4,4
22,4,5,freecol,freecol>client>gui>SwingGUI.java> updateUnitPath [line 443],"This method updates the active unit's path on the game map.  It takes the currently active unit, and if it has a valid destination and is not yet there, it calculates a path to the destination for that unit and returns it.  This is useful when animating a unit traversing to its destination or when clearing a units destination.",3,4,4,4
28,3,6,freecol,freecol>client>gui>SwingGUI.java> updateUnitPath [line 443],"This method updates the active unit's path on the map based on the unit's current location and proposed destination.  It does this by obtaining the active unit, getting the destination, checking if the destination is valid and then finding a path to it - after all this,  it sets the unit's path provided no errors were found in finding a path.  This method seems important in determining where a unit will move after proposing a destination for it to move to, which is vital in a strategy game.",5,5,3,4
30,2,5,freecol,freecol>client>gui>SwingGUI.java> updateUnitPath [line 443],"This updates the location an unit is going to. it checks for a valid destination of active units, and sets it to that path if there are no errors or if they are not at the previous location yet. This method is used in other method to change the location of where the unit is going.",4,3,4,3
23,2,8,freecol,freecol>common>io>FreeColXMLReader.java> readId [line 219],"1. this method read in the id. 2. this method is called to get the information of the user and if the id is null, it will return null, else it will return the id. 3. this method could help to search the information about a user.",3,3,4,3
24,4,5,freecol,freecol>common>io>FreeColXMLReader.java> readId [line 219],So this function will returned a string value of the id number. so this function will check the id number of that object. then it will check the prefix that id and append the correct id strins. the ids returned here is a identifier for many objects which is essential for later processing.,3,3,4,2
22,4,4,freecol,freecol>common>io>FreeColXMLReader.java> readId [line 219],"The method reads the id attribute from the XML input stream.  It read the id as a string, makes sure it is not null, and then camel cases the prefixes for tile item container objects and tile improvement objects.  This is useful when reading objects or attributes from the xml stream",4,4,4,5
26,2,4,freecol,freecol>common>io>FreeColXMLReader.java> readId [line 219],"The method reads the ID of free col objects. The method obtains the ID attribute tag of the object, performs some formatting (only for certain object types), and returns The method is used in many functions using freecolobjects, as ID retrieval is necessary to identify and perform operations on the objects.",5,3,4,4
30,2,8,freecol,freecol>common>io>FreeColXMLReader.java> readId [line 219],This checks the id of the tile and gives attribute if applicable. It makes sure the id is not null and checks for the place of the colon  to basically take out if it has a certain attribute. Then it returns the id. This is used to see if a certain tile has any attribute in the program.,3,3,3,3
31,5,2,freecol,freecol>common>io>FreeColXMLReader.java> readId [line 219],This method reads and returns the ID attribute tag value from the freecol XML reader. It does so using the getAttribute helper method; then it checks if the id starts with tileitemcontainer or tileimprovement and if so capitalizes those parts and then returns the id. This method is used to read the id attribute which is used to identify distinct entities in gameplay.,5,4,4,4
28,3,2,freecol,freecol>common>io>FreeColXMLReader.java> readId [line 219],"This method returns the ID of a game object.  It does this by getting the ID attribute of a game object, then (assuming that id is in the form string:string) it labels the given game object as a tileimprovement or tileitemcontainer to put the id in the correct format.  This method seems important in reading the ID's of game objects declared in xml files, which allows the program to interact with each individual object.",5,4,4,4
27,3,6,freecol,freecol>common>io>FreeColXMLReader.java> readId [line 219],"This methods reads the ""id"" attribute of an XML tag.  If the id starts with ""tileitemcontainer:"" or ""tileimprovement:"", it converts the prefix to camel case.  This method is uses to read the id attribute of XML files when loading save files or reading options.",3,3,4,5
29,2,3,freecol,freecol>common>io>FreeColXMLReader.java> readId [line 219],"This one I am not certain of, but basically I think it gets the information of a tile which is representative of land that you can possibly claim. It does this by getting the ID attribute of the tile and then parses it taking the prefix or everything before the "":"" and uses that to classify what it is. This is important for the users because to advance in the game you need to claim tiles or defend yours, and this function is a helper function for many others to help identify the attributes of a tile or land",4,4,3,3
23,2,4,freecol,freecol>common>model>FreeColObject.java> compareIds [line 148],"1. this method compare two ids and return the result of comparison. 2. this method pass in two FreeColObjects, check if they are valid, if they are not null, it will then check their id, if the ids in those two objects are valid, it will then compare them and return an integer to represent the result. 3. this method is used to compare two ids, it will be helpful in comparators.",4,3,3,4
24,4,7,freecol,freecol>common>model>FreeColObject.java> compareIds [line 148],"so it checks and compare two id number of objects. so it will check if one of the id of either one of the object is null, and it will return 0, -1 or 1 accordingly. then it will be further compare and return a larger number based on the objects idtype.",4,2,4,3
26,2,3,freecol,freecol>common>model>FreeColObject.java> compareIds [line 148],"The method compares the ID numbers of 2 free colony objects. The method first validates both IDs to ensure valid type and value, and then compares the 2 objects.  The method is used in various comparator cases in the program, likely to differentiate 2 colonies",5,4,4,3
22,4,3,freecol,freecol>common>model>FreeColObject.java> compareIds [line 148],"The method compares two FreeColObject objects by their Ids and returns a number representing which is considered ""higher.""  The Ids are compared as integers if their types are the same. Otherwise the types are compared as strings; If an object or an id is null then the other object is considered higher; if both objects are null then they are equivalent.  This is useful when implementing comparators for different types of FreeColObjects.",4,4,3,3
30,2,7,freecol,freecol>common>model>FreeColObject.java> compareIds [line 148],"This checks if the two id are the same. It checks if either object are null, the id are null, type are int, and finally same id. This is used in the program to see if FreeColObject are the same.",3,2,4,1
28,3,3,freecol,freecol>common>model>FreeColObject.java> compareIds [line 148],"This method compares the ID's of two FreeCol objects and returns 1 if they were the same and 0 if not.  It does this by accepting 2 objects, and if both (or their ids) are null it returns 0, if object 1 or its id is null it returns -1, and if object 2 or  its id is null it returns 1 - similar logic applies if they are not null.  This method is important in comparing the types of two game objects, which seems to be used in comparing locations.",5,5,3,2
27,3,7,freecol,freecol>common>model>FreeColObject.java> compareIds [line 148],"This method compares the ids of two FreeColObjects, returning -1 if fco1 < fco2, 1 if fco1 > fco2, and 0, if fco1 == fco2.  First, the objects and their ids are checked for null, before checking the id type, and then finally the integer id number is checked.  This method is used whenenever any FreeColObject is being put in a sorted container, or just needs to be compared.",4,5,2,2
31,5,6,freecol,freecol>common>model>FreeColObject.java> compareIds [line 148],"This method is used to compare ids of two freecol objects and returns 1 if first obj > second obj, 0 if both are equal and -1 if second obj > first obj. The method first checks if either object or its id is null, then it lexographically compares the id type and if those are the same it compares id number. This method is used to compare ids of different AI units by the AI player.",4,5,3,4
29,2,7,freecol,freecol>common>model>FreeColObject.java> compareIds [line 148],"This one gets the IDS of two free objects or spaces and compares them to each other to see if they are not the same space, like if you are not trying to make a move on a space that is already yours This is accomplished by making a function call to get the IDS of each space and then comparing each of them to each other and deciding if they are equal or not. This helps the player avoid making moves on their own space wasting resources. Idk tho",3,3,1,2
23,2,5,freecol,freecol>common>model>Monarch.java> initializeCaches [line 209],1. this method initialize the caches. 2. this method is called when there is a valid action and is going to create new arrays for a list of variables. 3. this method is used the reset the caches.,2,2,4,2
24,4,4,freecol,freecol>common>model>Monarch.java> initializeCaches [line 209],so it will intilace the caches values for storing. so it will intilaize many new empty lists for storing of these caches. Then we will traverse those and append the cache calues of the sepcs etc. This method is essiential in many function that required access the caches value or creating caches to hold so that it will process the large object faser.,3,2,3,2
22,4,8,freecol,freecol>common>model>Monarch.java> initializeCaches [line 209],The method initializes the data structures for a monarch in the game.  It reads the game specification and initializes the relevant data structure to hold the monarchs units and millitary roles.  This is useful when staring the game.,4,2,5,4
29,2,5,freecol,freecol>common>model>Monarch.java> initializeCaches [line 209],"this function basically goes and creates a ""Cache "" that is the list of all the monarchs available troops and their moves. This is done by simulating a cache or quick access of information which is made by making various data structures (arrays) and initializing them with the information of available resources at the monarchs disposal, so that when they decide to make a move then they can quickly pull from their ordered data instead of having to go through all of its components letting it get what it needs faster. This allows for quicker action on the monarchs part so there is not a lot of delay between decision to make a move and execution",4,4,2,3
31,5,7,freecol,freecol>common>model>Monarch.java> initializeCaches [line 209],"This method initializes the cache for a Monarch object by retrieving units and roles from the specification and classifying them as naval, bombard, land and mercenary types based on their abilities. The method does so by getting the unit type list from the spec and classifying units based on what ability they have; the different military roles are also assigned in a similar manner. This method is used at the start of other methods in the Monarch class to ensure that these data structures have been populated so they can be used.",5,5,3,3
26,2,5,freecol,freecol>common>model>Monarch.java> initializeCaches [line 209],"This method initializes the caches for a Monarch object in the game. The method initializes caches for both unit types and military roles of the Monarch. The method is used in various turn changes or game updates, as changes to a Monarch object must be updated.",5,3,5,5
30,2,3,freecol,freecol>common>model>Monarch.java> initializeCaches [line 209],This method is used in different functions to set up what type of unit and characteristic each unit is This method looks at the each characteristics of troops and organizes it into arraylists.  It classified each type of support troops and also classified what characteristics it has like mounted or armed. This is needed to find classify troops.,4,2,3,2
27,3,8,freecol,freecol>common>model>Monarch.java> initializeCaches [line 209],"This method organizes the units usable by a Monarch by ability and role, using the game specification.  For the roles, this method uses the first role that matches the conditions  This method is used whenever the monarch attempts to make an action, and the units and roles populated are used to validate the action.",4,3,4,4
28,3,8,freecol,freecol>common>model>Monarch.java> initializeCaches [line 209],"This method sets up a cache for each type of unit that the monarch (which i assume is the player character?) has and the actions the monarch can do.  It does this by initializing arrays for each type of unit the monarch can use, then iterating through each unit type and each military role (the actions  the monarch can perform) - it then adds all unit types to their respective arrays, and sets up the military roles appropriately.  This method is important in determining the actions a player can make without taking too many computational resources - with this, all actions and units are cached to be used in other functions quickly.",4,4,2,3
23,2,2,freecol,freecol>common>model>pathfinding>CostDeciders.java> getCost [line 198],"1. this method calculate the cost to move from one place to another place. 2. this method is called in CostDecider, is will loop through all the choices, and if the cost is infinite or illegal, it will return illegal move, or it will return the cost value. 3. this method helps to find the path through the cost perspective.",4,3,4,3
24,4,2,freecol,freecol>common>model>pathfinding>CostDeciders.java> getCost [line 198],"so it is a get method that returns a inter value of the cost number, so first, it will intake a unit number, two location number and a move number, then the function will call itself again and checked if the move is legal. is yes, the cost number will then be returned. the cost number returned is needed in a lot of the other actions",4,3,4,3
30,2,6,freecol,freecol>common>model>pathfinding>CostDeciders.java> getCost [line 198],"This finds the cost for moving units to another location. This method makes sure the behavior of the cost is expected, and calculates the costs based on danger, piracy, and distance and returns the cost. This is use in other functions to find if it is eligible to move in such a tile.",4,4,4,3
29,2,6,freecol,freecol>common>model>pathfinding>CostDeciders.java> getCost [line 198],"This function determines the cost to move into a new tile checking to see if that is a good mood. This is accomplished by getting the information about the current location and the place you want to go as well as the resources that they have to get there, and then checks if it is too much or if it is an illegal move and tells the player if they can or cant go there as well as the cost for them to  consider. This is important because it allows the player to better make a strategy about their next move",3,3,2,3
28,3,4,freecol,freecol>common>model>pathfinding>CostDeciders.java> getCost [line 198],"This method accepts a unit, the location it is moving from, the location it is going to, and the number of moves left, and returns the cost of moving that unit.  It does this by accepting all parameters, iterating through the cost deciders array, checking if the proposed move is valid, setting variables to  be used for getting the number of moves left and new turns, and then finally returning the cost.  This method is important in deciding the costs of units on the board and determining if certain moves are valid or not.",4,4,2,2
26,2,6,freecol,freecol>common>model>pathfinding>CostDeciders.java> getCost [line 198],"This method determines the cost of a unit move in the game. The method uses the update in the unit's location to calculate cost, and also validates that the move is valid before updating. The method is used in function controlling the game's updates and turns, as it is used for validation and updating game data.",3,3,4,4
27,3,2,freecol,freecol>common>model>pathfinding>CostDeciders.java> getCost [line 198],"This method determines the cost of a unit moving from a location to another location considering the number of moves remaining by using a list of cost deciders.  If any of the cost deciders determine that the move is illegal or has infinite cost, that cost decider is selected and immediately returns, marking it as invalid  This method is part of the AI used to determine the actions of CPU players in the game.",5,4,4,4
22,4,6,freecol,freecol>common>model>pathfinding>CostDeciders.java> getCost [line 198],This method finds the cost of moving a unit from an old location to new location.  It can run several different cost deciders and will take the maximum cost that is determined by any of them unless any of them find that it is an illegal move or that the cost is infinite.  This is useful when determining the cost of a new move.,4,3,4,4
31,5,4,freecol,freecol>common>model>pathfinding>CostDeciders.java> getCost [line 198],This method returns the cost of performing a certain move (moving an unit from an old location to new location) based on a list of different costDeciders which provides rules for the game. The method iterates through all cost deciders and if the proposed move is illegal or costs infinity according to any cost decider then it is not allowed; else the highest cost from all deciders is returned. This method is likely used to determine if a move is valid for some unit and what the cost for it will be.,5,5,3,4
23,2,6,freecol,freecol>server>FreeColServer.java> changeServerState [line 349],"1. this method change the state of the server. 2. this method get a serverstate and change the current state to it. 3. this method is called at the begining, loading, and the end of the game to change the state of the server.",4,3,5,4
