participant,session,method,project,path,summary,Accuracy,Completeness,Conciseness,Clarity
5,5,3,freecol,freecol>client>gui>SwingGUI.java> updateUnitPath [line 443],"The method identifies active units and finds valid path for them towards their destinations.  The method firstly checks if there exists active units and if so, retrieves their destinations and draw the paths to them.  The method is useful when some path guidance are needed for the active units.",5,5,5,5
7,3,2,freecol,freecol>client>gui>SwingGUI.java> updateUnitPath [line 443],The method is responsible for updating the path to destination for an active unit in the game. This method first calls retrieves the information of the active unit along with the desination and assigns a new path for that unit. It is used when a player wants to move an object in the game.,4,3,5,5
6,3,4,freecol,freecol>client>gui>SwingGUI.java> updateUnitPath [line 443],"The purpose of this method is to update the game unit's path within the GUI of the game.  The method first checks that the game unit is active, if it is, then it fetches its destination. Next it checks if it there is an active path to the destination and if so, then updates accordingly. If not, then an error is caught with the appropriate message.  This method is needed to determine if a movement path for a game object is possible before it attempts to move said game object.",5,5,4,5
11,4,6,freecol,freecol>client>gui>SwingGUI.java> updateUnitPath [line 443],"This method gets the path a unit travels on and makes sure it gets displayed on the map  This method checks that the proposed destination of the unit is valid, and then calls upon the unit to find a path (and it seems that it finds the least expensive path) and then sets the found path to be displayed on the map  This method is very useful for the player to visualize where different units are going",4,5,4,5
3,5,7,freecol,freecol>client>gui>SwingGUI.java> updateUnitPath [line 443],"This method helps to set a path for a unit to its destination on the GUI (graphical user interface that the user interacts with).  This method gets the active unit that is being played (returns if the active unit is null), gets the unit's destination, and finds a path from where the unit is to its destination, and sets the path for  the unit, as long as the unit is disposed, not currently at the destination, and there are no errors.  When a player wants to move a unit, this helps to display the path of the unit on the screen to the users playing.",5,5,4,5
10,4,7,freecol,freecol>client>gui>SwingGUI.java> updateUnitPath [line 443],"This method helps to set the path of an active unit.  This method gets the active unit and its destination location, after checking the validity, it gets the path for the destination location, and sets it using setUnitPath method.  This method can be used to traverse, perform or clear the Goto path of an active unit.",5,5,5,5
9,4,3,freecol,freecol>client>gui>SwingGUI.java> updateUnitPath [line 443],"This method is for setting the path for the active unit to their destination. It checks which Unit is active (i.e. who's turn it is) and then accesses their destination and if the destination is not null, and the active unit is not at the destination, and the destination is not disposed, then the method tries to find a path to that destination by calling findPath() and if that is successful, it calls setUnitPath and passes it the result of the findPath() method. This method is used by the project in the clearGoToPath(), performGoTo() and traverseGoToPath() methods for updating the directions/path that the active unit is taking.",5,5,3,3
12,5,3,freecol,freecol>client>gui>SwingGUI.java> updateUnitPath [line 443],"This method is to update the unit path.  It first gets an active unit and checks its destination, if the destination is neither null nor disposed and the unit is not at the destination, then it finds the path to the destination for the active unit and catch the errors in the path finding process and then set the destination as null.  This method is useful when want to find a path to the destination for an active unit.",5,5,5,5
4,2,4,freecol,freecol>client>gui>SwingGUI.java> updateUnitPath [line 443],"This method update the path for a unit. This method finds the destination of a unit, and then find the path of this unit from a location to the destination and update the path when the unit is active and the destination is not null. This method can be used to update/clear the path when the status of a unit has changed.",4,4,5,5
8,2,3,freecol,freecol>common>io>FreeColXMLReader.java> readId [line 219],Detects and read the player table and detects the container id. Within an specific table the x dimension for specific id will be extracted and an specific id will be returned. Useful to extract the positions for x dimension to get the specific id of the object.,3,2,5,5
5,5,5,freecol,freecol>common>io>FreeColXMLReader.java> readId [line 219],The method gets the id of the object with or without the title information.  It firstly gets the raw id information and updates the title for the id based on the title index.  The method is useful when retrieving the detailed id information of a given object.,4,3,5,5
11,4,7,freecol,freecol>common>io>FreeColXMLReader.java> readId [line 219],"This method appears to parse the ID of an object and ensure it's in the right format  This method reads in the ID of an object as a string, and if the ID type is tileitemcontainer or tileimprovement the types get turned into tileItemContainer and tileImprovement, while keeping the content of the ID the same  This method seems to be used to catch some corner cases with different naming conventions.",5,4,5,5
7,3,8,freecol,freecol>common>io>FreeColXMLReader.java> readId [line 219],This method assigns a corresponding substring to an object ID. The method reads the attribute of an object and assigns a substring based on the prefix. This method is used when rendering objects in the game.,3,3,5,5
3,5,3,freecol,freecol>common>io>FreeColXMLReader.java> readId [line 219],"This method helps to read an ID from an XML file.  This method gets the attribute for a particular ID from an XML file, and if the prefix of the ID is ""tileitemcontainer"" or ""tileimprovement"" it changes the prefix from all lowercase to camel case.  This method helps the program to read in specifications for the FreeCol game from an XML file.",5,5,5,5
12,5,2,freecol,freecol>common>io>FreeColXMLReader.java> readId [line 219],"This method reads id from a given string.  It first ensures the given string is not null, then it splits the string by "":"", gets the prefix and id, identify if the prefix string between 0 to the index is ""tileItemContainer"" or ""tileImprovement"", and finally it concatenates the corresponding prefix to the id.  This method is useful when you want to get a id from a string and check if the prefix is valid.",5,4,5,5
9,4,5,freecol,freecol>common>io>FreeColXMLReader.java> readId [line 219],"This method reads the id of a FreeColObject and returns it as a String. It Creates a Sting object id and sets the value to the FreeColObject's id tag, with a default value of null, if the value of the id is not null, the method checks for the first occurance of "":"" in the String id and if the index of the "":"" is greater than 10, then the method creates a substring of the id to return depending on if the prefix of the id is tileitemcontainer or tileimprovement. This method is used by the class whenever a FreeColObject's id needs to be accessed, typically when comparing it in a boolean statement.",4,5,3,4
6,3,7,freecol,freecol>common>io>FreeColXMLReader.java> readId [line 219],"This method reads the ID of a FreeColObject and returns it.  The method first checks if the ID is null, if it is it returns nothing. Otherwise, it expects a "":"" in the middle of the ID in which case it parses either side of it and returns the new ID.  This method is needed to obtain the FreeColObject ID which is necessary for many other operations within the game that relies in the game object ID.",5,3,4,5
10,4,3,freecol,freecol>common>io>FreeColXMLReader.java> readId [line 219],"This method reads the ID of a FreeColObject object and returns it.  This method first get the ID attributes of a FreeColObject object, if it is not null, it checks if the length of the prefix of the id identified by "":"" is greater than 10 or not,  if it is greater than 10, it finds the ID type and appends it with the remaining part of ID, and finally returns it. This method can be helpful to read the Id and identify it.",4,4,4,4
4,2,7,freecol,freecol>common>io>FreeColXMLReader.java> readId [line 219],"This method reads the ID of an object. This method takes in the string of an object ID; first it checked whether it is null, and if not and if the index is larger than 10, it checks whether this ID belongs to a titleItemContainer or titleImprovement and return this along with the index. This method is useful in many case, but mainlt it can be used to check the ID when creating an object or getting the attribute, location or type of an object.",4,4,4,4
8,2,8,freecol,freecol>common>model>FreeColObject.java> compareIds [line 148],"Returns the id 1, 0 or -1 based on the comparison of two objects to detect the free space to set a color. If the value of the first object is null  and the value of second is also null it will be set to 0 which means the cell is free, if the result is -1 the second object will take hierarchy. If the values are not null that means it is possible make a comparison between the ids. Useful to compare the free cells and get the specific id if it is a cell free.",4,3,4,4
5,5,7,freecol,freecol>common>model>FreeColObject.java> compareIds [line 148],"The method compares the id information of two given objects.  It progressively compares the types and the number of the ids of two objects, and return a binary value to indicate their similarity.  The method is useful when validating the similarity of two given objects based on their ids.",5,4,5,5
7,3,4,freecol,freecol>common>model>FreeColObject.java> compareIds [line 148],"The method is responsible for comparing two objects of FreeColObject instances. The method first checks if one of the objects is null then compares the IDs and the types of the IDs. Whenever the game needs to check the ID of an object to see if it is the same object, it uses this method.",4,3,5,5
6,3,3,freecol,freecol>common>model>FreeColObject.java> compareIds [line 148],"The purpose of this method is to compare two ID's and determine if they are the same or not.  If either ID is null, it returns false, otherwise the method calls the object's getter method of the ID and then performs a comparison and returns the result.  The purpose of this method in the scope of the game is to compare the IDs of game objects to ensure they are not the same object before performing some type of operation on them.",5,3,5,5
10,4,6,freecol,freecol>common>model>FreeColObject.java> compareIds [line 148],"This method compares Ids between two FreeColObject objects.  This method checks if the objects are null or not, then it checks their Ids are null or not by extracting them, and finally, it first compares based on the Id types and then, as number if necessary.  This method helps to compare Ids between two  FreeColObject objects which can be helpful about determining their locations.",5,5,5,5
11,4,4,freecol,freecol>common>model>FreeColObject.java> compareIds [line 148],"This method compares the ""id""'s of two FreeColObject's  This method checks if the id's are of the same type (the id, as a string, will contain the type) and then compares the id's (the part that is a number)  This method is useful if there's something stored in the id number - perhaps the order in which the objects were born, or maybe just to see of two objects are the same (by checking that their ids are the same)",5,4,4,5
4,2,3,freecol,freecol>common>model>FreeColObject.java> compareIds [line 148],"This method compares the IDs of 2 given objects. This method first gets the IDs of 2 objects and check whether either of them is null, and if not it moves on and check whether 2 IDs are the same type. This method can be used to check whether an ID already exist when a new object is being created.",4,2,5,5
12,5,6,freecol,freecol>common>model>FreeColObject.java> compareIds [line 148],"This method compares the ids of two free col objects.  It first check if the free col objects or their ids are null, if both objects are null or both ids are null then it returns 0, if only the free col object 1 or its id is null or the object 2's id is larger than object 1's then it returns -1, otherwise, if only the free col object 2 or its id is null or the object 1's id is larger than object 2's then it returns 1.  This method is useful when you want to detect whether two free col objects ids are null and compare their ids.",5,2,3,4
3,5,5,freecol,freecol>common>model>FreeColObject.java> compareIds [line 148],"This method compares two FreeColObject ids.  The method takes in two FreeColObjects, and returns 0 if the object IDs are the same or -1 if they are not the same, making sure to handle the cases where the FreeColObjects could be null or their IDs could be null and different types of FreeColObject IDs.  This method helps two FreeColObjects to be compared to each other (I'm not sure in what contexts they would be compared though).",5,3,4,3
9,4,6,freecol,freecol>common>model>FreeColObject.java> compareIds [line 148],"This method takes two FreeColObject's and compares their Ids and returns -1,0, or 1 depending on the difference between the Ids. If the Ids are the same value, it returns 0, if id1 is greater than id2, then it returns 1, and if id2 is greater than id1, it returns -1. The method is used by the project to compare the id's of two FreeColObjects.",5,2,4,4
8,2,2,freecol,freecol>common>model>Monarch.java> initializeCaches [line 209],Counts the type of resources of the player getting the unique type of abilities for armament and for soldiers. Extracts from the specification the unique features to initializes the list of unique resources for the first iteration the method extracts the unit type and for the second the military role. This method will help to save the resources of the player in real time and will help later to update the list of resources during the game.,5,4,4,5
5,5,2,freecol,freecol>common>model>Monarch.java> initializeCaches [line 209],The method initializes different types for each unit based on its unique abilities.  The method assign each unit to one of the pre-defined types based on its ability and then setup the roles for each unit.  The method is useful before handling a unit object for the validation purpose.,5,4,5,5
7,3,3,freecol,freecol>common>model>Monarch.java> initializeCaches [line 209],"This method assigns an army to different lists of troops according to their abilities and roles. The method first checks different unit type and role type for each troop by iterating through the list of specification and adds them to their corresponding lists according to their types and roles. respectively. When performing an action in the game, this method is used to retrieve information about the army and check if the action is valid.",5,4,4,5
6,3,8,freecol,freecol>common>model>Monarch.java> initializeCaches [line 209],"This method creates a list of various game objects that are stored for further processing for game logic.  This method derives the status of many different Unit Types and the status of them such as whether they have ability or not in the current state of the game. If they have active abilities, they are added to the lists of game objects to process. Finally, the method loops through the military roles list and determines the current status of the player's side such as if they are armed, mounted etc.  This method is necessary for loading a cache of game objects and updating the game state before the game logic can be processed. Things such as what types of attacks can be made and what types of game objects can be attacked or deal damage.",5,5,1,4
3,5,6,freecol,freecol>common>model>Monarch.java> initializeCaches [line 209],"This method helps to initialize lists of unit types for a monarch.  For every UnitType in the spec, the method checks the abilities of that unit type to determine if it should be added to the navalTypes, bombardTypes, landTypes or mercenaryTypes lists, then it sets some booleans based on the military roles in the spec.  This method helps to initialize a Monarch for game play with certain military abilities.",5,4,5,4
12,5,8,freecol,freecol>common>model>Monarch.java> initializeCaches [line 209],"This method initializes all type of units in a monarch.  It initializes the naval, bombard, land, and mercenary unit of a monarch, add unit type for each unit, and finally initialize the military roles for armed or mounted types.  This method is useful when you want to initialize the unit types and military roles of a monarch.",5,5,5,5
4,2,6,freecol,freecol>common>model>Monarch.java> initializeCaches [line 209],"This method initializes cache contents for the game. To be more specific, this method initializes a lit of unit types and a list of roles. This method can be used when creating actions, getting naval units, getting supports and load mercenaries in the game.",5,3,5,5
10,4,5,freecol,freecol>common>model>Monarch.java> initializeCaches [line 209],"This method initializes the caches to store information.  This method creates ArrayList for naval, bombard, land and mercenary types, get REFUnit for naval and land types, iterates over the unit types and adds them to the right ArrayList, and then it checks the MilitaryRole types for armed,  mounted or ref unit.  This method initializes the caches whenever there is a valid action or the game wants to get Naval Ref unit and support, or load mercenaries or mercenary force.",5,5,3,4
9,4,7,freecol,freecol>common>model>Monarch.java> initializeCaches [line 209],"This method initializes the object of a Monarch for the game by retrieving the specifications of the game and reassigning the specs of the game to the Monarch's attributes. In order to restore the cache for the Monarch, the method iterates through the unit types that the Monarch has to assign the abilities to this instance of the Monarch, and it and iterates through the military roles that the Monarch can have. This method is used for when the Monarch is taking an action, such as getting a Naval REF Unit.",5,5,3,5
11,4,8,freecol,freecol>common>model>Monarch.java> initializeCaches [line 209],"This method takes all the military capabilities from a player's specification and then organizes them  This method takes a player's specification, which includes all the types of units and military roles they have access to, and then organizes the types of units by the terrain and role they serve (naval, bombard, etc.) and stores the military roles of the player as boolean variables (is armed, is mounted, etc.)  This method seems to be useful for taking in one representation of what a player can do (the specification) and then organizing it for use in other places - here presumably to help manage the possible actions a player can take.",5,5,4,5
8,2,4,freecol,freecol>common>model>pathfinding>CostDeciders.java> getCost [line 198],"Identifies if the desire movement is illegal. If the cost implies an illegal movement based on the old and new location a message of illegal movement will be throw if not, the new index and cost will be updated. Useful to detect illegal movements and update the cost based on prior and new locations.",5,5,5,5
5,5,6,freecol,freecol>common>model>pathfinding>CostDeciders.java> getCost [line 198],The method calculates the cost of a unit to move between two locations.  It iterates over each cost strategy to estimate the cost of the move of the target unit and keeps updating the highest cost.  The method is useful when maintaining the valid and highest cost for a unit to move between two specified destinations.,5,4,4,3
6,3,2,freecol,freecol>common>model>pathfinding>CostDeciders.java> getCost [line 198],"The purpose of this method is to fetch the cost of a move within the game.  The method expects a Unit, a current and new position as well as how many moves the player has left. The logic will check if the move is allowed, i.e if it's illegal or not, if it is not illegal the cost of the move is returned. Additionally, this method is defined after inheirting from Interface CostDecider.  In the context of the game, this method is necessary to check not only if a move is allowed within the game, but calculates the cost of the move so further game logic can determine if the player has enough currency to execute the move.",5,5,2,4
9,4,8,freecol,freecol>common>model>pathfinding>CostDeciders.java> getCost [line 198],"This getCost() method is an override function that returns the cost of a move between the old and new location or returns that the move is Illegal. The method loops through an array of CostDecider's checking if the move is illegal or infinite, and if it is legal, it checks if the cost of a move is greater than the current largest cost, and if it is greater, it sets to new largest cost (ret) to that value and when the loop is finished, returns ret. The method is throughout the project to check the cost of a move.",5,5,3,3
3,5,4,freecol,freecol>common>model>pathfinding>CostDeciders.java> getCost [line 198],"This method calculates and returns the cost of a move for a composed cost decider object.  The method takes in a unit, old location, new location, and number of moves left, and iterates through a list of cost deciders, return the highest calculated cost from all of the cost deciders in the list, unless one of the cost deciders has a cost of illegal move or infinity, in which case illegal move is returned.  This method helps with the game play in moments where the cost of a move needs to be decided.",5,4,4,5
10,4,8,freecol,freecol>common>model>pathfinding>CostDeciders.java> getCost [line 198],"This method calculates the cost to move an unit from an old location to a new one.  This method traverses the costDeciders array, checks if the cost is an ILLEGAL_MOVE or INFINITY, if it is not, it returns the cost for the move from an old location to the new location.  This method helps to calculate cost which is a contributing factor to make a move.",4,3,4,4
11,4,3,freecol,freecol>common>model>pathfinding>CostDeciders.java> getCost [line 198],"This method gets how costly a ""move"" is in the game  This method gets the maximum cost over a variety of metrics - for example, metrics may include a penalty for hitting settlements or naval units  This method is useful in order to determine the cost of a move under varying measures of expense - for example we may imagine one unit may find it less costly to move on water than on land, and by changing the set of metrics each unit uses, within this function, we are able to manage this kind of behavior",4,4,3,4
4,2,8,freecol,freecol>common>model>pathfinding>CostDeciders.java> getCost [line 198],"This method gets the cost when a unit moves. This method checks the cost of each entry in the cost decider list, if the move is not illegal and the cost is not infinite, if the cost is larger than -1 return the updated cost. This method can be used to check the cost to avoid navals or settlements.",3,3,5,5
7,3,7,freecol,freecol>common>model>pathfinding>CostDeciders.java> getCost [line 198],This method returns a cost for a given move by a player. It iterates through the available costs and returns the valid costs for the moves. This method is used to find the cost for the available moves for a player.,5,4,5,5
12,5,5,freecol,freecol>common>model>pathfinding>CostDeciders.java> getCost [line 198],"This method returns the move cost of a given unit based on its old location and new location.  It identifies the move cost for the given unit, if a move is illegal or infinity then it returns illegal move, otherwise if the cost is larger than -1 then it returns the move cost itself.  This method is useful when you want to check whether a move cost is illegal and get the cost of the move.",5,5,5,5
8,2,5,freecol,freecol>server>FreeColServer.java> changeServerState [line 349],Changes the status of the game depending on the current state and send message to start deploying stopping or ending the game If the game already start or if the user is in the game or if it has ended the method will update the value Helpful to get the current overall status of the game.,3,4,5,5
5,5,4,freecol,freecol>server>FreeColServer.java> changeServerState [line 349],"The method changes the state of the server based on the input request.  It firstly gets the current server state and then looks up the action for the input request to handle the server, and finally send the state information to all connected clients.  The method is useful when making some changes to the game status.",3,3,4,3
4,2,5,freecol,freecol>server>FreeColServer.java> changeServerState [line 349],"This method can change the state of the game in the server. More specifically, this method finds the current state first, and then it can switch the state to current handler if state is pre game, in game or load game; and if state is end game it set state to null. This method can be called when the game is loading, starting or ending to send the updated state to the handler.",5,5,5,4
12,5,4,freecol,freecol>server>FreeColServer.java> changeServerState [line 349],"This method changes the server state based on its current state.  It first gets the current state of the server, and if the current state is PER_GAME, LOAD_GAME, or IN_GAME, then it sends the input handler as the message to all the connections of the server, while if the current state is END_GAME, then it sends null as the message to all the connections of the server.  This method is useful when you want to update the server state based on its current state and send the update to all the connections with the server.",5,5,4,4
10,4,4,freecol,freecol>server>FreeColServer.java> changeServerState [line 349],"This method changes the state of the server.  This method checks in which state the server is in, unless it is not in the END_GAME state, it sends the right input handler, otherwise it sends null as input handler, and finally it returns the previous server state. This method is needed in every state of the server to have the server in the right state.",5,5,5,5
11,4,2,freecol,freecol>server>FreeColServer.java> changeServerState [line 349],"This method helps manage inputs at different stages of the program  This method keeps track of the ""state"" of the game, and when the state becomes END_GAME, this method notifies all connected components to handle messages accordingly  This method is useful to ensure that when the game ends, all components ""know"" that it has ended",4,4,5,5
9,4,2,freecol,freecol>server>FreeColServer.java> changeServerState [line 349],"This method is for setting a Message Handler to all connections about the state of the server. The method checks if the server state is in Pre_Game, Load_Game, or In_Game, and if it is, it sets the message to be the class's server's input handler, and if the server state is End_Game, it sets it to null. This method is called by the project when the project is executing it's end game, start game and in game methods.",5,5,5,4
6,3,6,freecol,freecol>server>FreeColServer.java> changeServerState [line 349],"This method is used to change the state of the game server depending on what stage of the game the player is in.  This is a private method and is called from other public methods that send in a ServerState object and determines the action of the game, whether that is ending the game, loading a component, or starting the game.  This utility function is necessary to change the server state of the game and is useful for coordinating what happens next in the game and what scenes and or screens are loaded within the game.",5,4,4,5
7,3,6,freecol,freecol>server>FreeColServer.java> changeServerState [line 349],"This method sets a server status according to the sate of the game. If a player loads a game or in-game, the server status is set to listen to user inputs. When starting or exiting a game, this method is used to change the status of the server.",4,5,5,5
3,5,2,freecol,freecol>server>FreeColServer.java> changeServerState [line 349],"This method sets the server's input handler based on an input server state.  This method takes in a server state enum, sets the server input handler to this.inputHandler in the case of PRE_GAME, LOAD_GAME, and IN_GAME and to null in the case of END_GAME, and returns the server state enum that was passed in.  This method helps to change game states.",5,5,5,3
8,2,1,freecol,freecol>tools>FlagTest.java> SetColors [line 209],Assigns different colors in the background based on the buttons. It will iterate over the array of buttons and assign color if the color button is different than null the background will have a specific color from the array of buttons. This method will help to start the game and assign the desire color for the background,5,5,5,5
5,5,1,freecol,freecol>tools>FlagTest.java> SetColors [line 209],"The method sets color for different regions of a flag.  It sets the color in the order for different regions including union, start and buttons from the background.  The method is useful when setting different colors for a flag.",5,3,5,5
7,3,1,freecol,freecol>tools>FlagTest.java> SetColors [line 209],"The purpose of the method is to set a corresponding color to an object. The method sets the union, star, and decoration color from the variables and sets the background color by iterating through the colors of the color button. When an action is performed or an item is changed in the game, this method changes the color of the object.",5,5,5,5
9,4,1,freecol,freecol>tools>FlagTest.java> SetColors [line 209],"This method is for setting the colors of the flag. The method sets the background color, the star color, the union color and the decoration color by calling the getColor() method. The method is used by the project to change the colors of the flags when an event happens or something changes state.",5,4,5,5
11,4,1,freecol,freecol>tools>FlagTest.java> SetColors [line 209],"This method is used to instantiate the colors of a flag object  This method takes in a set of colors and assigns them to the appropriate components of a flag object, where a flag object contains various components (like stripes, stars, crosses) whose colors can be set  This method seems to help streamline assigning colors to flags - especially when creating predefined flags, such as that of the UK, Netherlands, etc.",5,4,4,5
4,2,1,freecol,freecol>tools>FlagTest.java> SetColors [line 209],"This method set colors for the background. Specifically, this method finds the union and star colors and add them to the color list first, and then it finds the background colors and then add them into color list if background color is not null. This method can be used to update the color setup when an item in the game is modified.",5,5,5,5
10,4,1,freecol,freecol>tools>FlagTest.java> SetColors [line 209],"This method sets colors in the different elements in the flag variable.  This method gradually sets colors in the unicorn, star, decoration, buttons and in the background of the flag variable.  This method is used to set colors in the Flag object after an action or state change.",5,4,5,5
12,5,1,freecol,freecol>tools>FlagTest.java> SetColors [line 209],"This method sets the color of a flag for its four attributes: union, star, decoration, and background.  It is first set the color of a flag for its union, star, and decoration, and then set the background by looping through the color in the background color list.  This method is useful if you want to set the flag color for different attributes.",5,5,5,5
6,3,1,freecol,freecol>tools>FlagTest.java> SetColors [line 209],This method sets the colors for a given country flag.  The method obtains the flag colors from getter methods of the object flag and then loops through the background colors List and if there are matches then they are added to the list of Colors associated with the flag.  This method is used for displaying the flag of the nation that the player represents in the game.,5,5,4,4
3,5,1,freecol,freecol>tools>FlagTest.java> SetColors [line 209],"This method sets the colors of a country's flag.  The method sets a flags union color, star color, and decoration color to the ones specified in the class's final variables, then iterates through the ColorButtons of the class's background color list and sets the flag's background colors (that are not null) to be these colors.  This method helps in displaying the flags of the countries in this game by setting their colors.",5,5,5,4
8,3,6,mallet,mallet>cluster>GreedyAgglomerative.java> improveClustering [line 61],Detects the best cluster and improve the clusters based on the best score of each cluster. The cluster with the lowest score will be merged into antoher one and will calculate the converge value for each new cluster. Useful to identify the best cluster and improve the existing cluster.,3,4,5,4
5,2,3,mallet,mallet>cluster>GreedyAgglomerative.java> improveClustering [line 61],"The method improves the clustering performance by merging one pair of built clusters.  The method iterates all unique pairs of  built clusters to identify the pair with highest score, then merge the pair to one cluster if the score is higher than the stop threshold.  The method is useful when there are several or more clusters that could be merged to improve the clustering performance.",5,5,4,5
10,5,2,mallet,mallet>cluster>GreedyAgglomerative.java> improveClustering [line 61],"This method checks if merging two clusters can improve the clustering.  This method iterates over each cluster pair, checks merging them can yield to a better score or not, if the best score is not greater the stopping threshold, it merges them, and returns the best score.  This method is used to improve clustering in different clustering example, for example, Hill Climbing Clustering.",4,5,5,5
7,2,7,mallet,mallet>cluster>GreedyAgglomerative.java> improveClustering [line 61],"This method finds the best scores from a set of clusters and updates the score until it reaches the stopping threshold. The method iterates through the clusters and finds the best score for each cluster and continues to update the score if it is less than the stopping threshold. When clustering for a greedy approach, it helps identify the best cluster within a given stopping threshold",3,2,4,5
12,4,2,mallet,mallet>cluster>GreedyAgglomerative.java> improveClustering [line 61],"This method finds the two clusters with the best score to merge.  It compares all the pairs of clusters and aims to find the pair with the largest best score, and if the best score is greater than the stopping threshold then it will merge the two clusters with the largest best score, otherwise, it shows that it is converged.  This method is useful when you want to select the clusters that is necessary to be merged and improve the clustering result.",5,5,4,5
4,5,3,mallet,mallet>cluster>GreedyAgglomerative.java> improveClustering [line 61],"This method improves existing clusters. This method first checks the existing clusters, and updates current cluster if it provides a better score; then it checks whether the model converges, and merges clusters if it doesnt; finally it returns the updated clusters. This method can be used to update the clusters in a greedy algorithm.",4,4,5,5
9,3,2,mallet,mallet>cluster>GreedyAgglomerative.java> improveClustering [line 61],"This method is for improving the clusters of a given Clustering by comparing each cluster. It loops through the number of clusters in the Clustering that the method was passed, and it compares the clusters in the Clustering to check if the clusters should be merged, the method then checked if the clustering has converged and if it hasn't it logs the clusters that it is about to merge and then merges them. This method is used by the HillClimbingCluster that uses it to get the KBest cluster.",5,5,4,5
6,4,5,mallet,mallet>cluster>GreedyAgglomerative.java> improveClustering [line 61],"This method receives a clustering object and loops through its features and updates the values if the prior clustering object is exceeds these values.  The method loops through the dimensions of the clustering object and updates the values if the best score variable exceeds the current index score. Once this process completes, the best score is compared against the stopping threshold and if it hasn't exceeded, the clustering object is returned with new values.  The method would be useful for updating weights of feature vectors during various ML processes such as K-nearest neighbor operation.",4,4,2,4
3,3,8,mallet,mallet>cluster>GreedyAgglomerative.java> improveClustering [line 61],"This method takes in an already existing cluster (like clusters of data) and improves it if necessary.  This method takes in an arrangement of data in clusters, determines if any data should be merged into different or new clusters, and performs the merge for a specified threshold of iterations.  When creating data clusters, the general process is to make initial clusters and continue to iterate on them to make them better--this method does that.",5,3,4,5
